YEAR,SITE,ZONE,SIDE,TRANSECT,CLASSCODE,PROPORTION,PROPORTION_2
2017,Destruction Island,5,2,2,BOULD,0,0
2017,Destruction Island,5,2,2,COB,0,0
2017,Destruction Island,5,2,2,SAND,0,0
2017,Destruction Island,5,2,3,BEDRK,1,1
2017,Destruction Island,5,2,3,BOULD,0,0
2017,Destruction Island,5,2,3,COB,0,0
2017,Destruction Island,5,2,3,SAND,0,0
2017,Destruction Island,5,2,4,BEDRK,1,1
2017,Destruction Island,5,2,4,BOULD,0,0
2017,Destruction Island,5,2,4,COB,0,0
2017,Destruction Island,5,2,4,SAND,0,0
2017,Cape Johnson,5,1,1,BEDRK,0,0
2017,Cape Johnson,5,1,1,BOULD,0.5333333333333333,0.28444444444444444
2017,Cape Johnson,5,1,1,COB,0.4666666666666667,0.2177777777777778
2017,Cape Johnson,5,1,1,SAND,0,0
2017,Cape Johnson,5,1,2,BEDRK,0,0
2017,Cape Johnson,5,1,2,BOULD,0.6333333333333333,0.4011111111111111
2017,Cape Johnson,5,1,2,COB,0.30000000000000004,0.09000000000000002
2017,Cape Johnson,5,1,2,SAND,0.06666666666666667,0.0044444444444444444
2017,Cape Johnson,5,1,3,BEDRK,0,0
2017,Cape Johnson,5,1,3,BOULD,0.8999999999999999,0.8099999999999998
2017,Cape Johnson,5,1,3,COB,0.1,0.010000000000000002
2017,Cape Johnson,5,1,3,SAND,0,0
2017,Cape Johnson,5,2,1,BEDRK,0,0
2017,Cape Johnson,5,2,1,BOULD,0.7,0.48999999999999994
2017,Cape Johnson,5,2,1,COB,0.3,0.09
2017,Cape Johnson,5,2,1,SAND,0,0
2017,Cape Johnson,5,2,2,BEDRK,0,0
2017,Cape Johnson,5,2,2,BOULD,0.7,0.48999999999999994
2017,Cape Johnson,5,2,2,COB,0.3,0.09
2017,Cape Johnson,5,2,2,SAND,0,0
2017,Cape Johnson,5,2,3,BEDRK,0,0
2017,Cape Johnson,5,2,3,BOULD,0.7,0.48999999999999994
2017,Cape Johnson,5,2,3,COB,0.3,0.09
2017,Cape Johnson,5,2,3,SAND,0,0
2017,Cape Johnson,5,2,4,BEDRK,0,0
2017,Cape Johnson,5,2,4,BOULD,0.6,0.36
2017,Cape Johnson,5,2,4,COB,0.33333333333333337,0.11111111111111113
2017,Cape Johnson,5,2,4,SAND,0.06666666666666667,0.0044444444444444444
2017,Cape Johnson,5,2,5,BEDRK,0,0
2017,Cape Johnson,5,2,5,BOULD,0.6333333333333333,0.4011111111111111
2017,Cape Johnson,5,2,5,COB,0.26666666666666666,0.07111111111111111
2017,Cape Johnson,5,2,5,SAND,0.1,0.010000000000000002
2017,Cape Johnson,10,1,1,BEDRK,0.5333333333333333,0.28444444444444444
2017,Cape Johnson,10,1,1,BOULD,0.3,0.09
2017,Cape Johnson,10,1,1,COB,0.06666666666666667,0.0044444444444444444
2017,Cape Johnson,10,1,1,SAND,0.1,0.010000000000000002
