"","YEAR","SITE","SIDE","ZONE","TRANSECT","DEPTH.FT","Sum","Functional_Group","COUNT","percent_cover"
"78",2017,"Cape Johnson","1",10,3,20,30,"Brown Algae",1,0.0333333333333333
"79",2017,"Cape Johnson","1",10,4,20,30,"Brown Algae",0,0
"80",2017,"Cape Johnson","2",5,1,15,30,"Brown Algae",0,0
"81",2017,"Cape Johnson","2",5,2,15,30,"Brown Algae",0,0
"82",2017,"Cape Johnson","2",5,3,15,30,"Brown Algae",0,0
"83",2017,"Cape Johnson","2",5,4,15,30,"Brown Algae",3,0.1
"84",2017,"Cape Johnson","2",5,5,15,30,"Brown Algae",0,0
"85",2017,"Cape Johnson","2",10,1,20,30,"Brown Algae",0,0
"86",2017,"Cape Johnson","2",10,2,20,30,"Brown Algae",6,0.2
"87",2017,"Cape Johnson","2",10,3,17,30,"Brown Algae",0,0
"88",2017,"Cape Johnson","2",10,4,17,30,"Brown Algae",1,0.0333333333333333
"89",2017,"Destruction Island","1",5,1,18,30,"Brown Algae",6,0.2
"90",2017,"Destruction Island","1",5,2,12,30,"Brown Algae",15,0.5
"91",2017,"Destruction Island","1",5,3,15,30,"Brown Algae",19,0.633333333333333
"92",2017,"Destruction Island","1",5,4,16,30,"Brown Algae",5,0.166666666666667
"93",2017,"Destruction Island","2",5,1,14,30,"Brown Algae",3,0.1
"94",2017,"Destruction Island","2",5,2,18,30,"Brown Algae",5,0.166666666666667
"95",2017,"Destruction Island","2",5,3,13,30,"Brown Algae",2,0.0666666666666667
"96",2017,"Destruction Island","2",5,4,13,28,"Brown Algae",0,0
"97",2017,"Neah Bay","1",5,1,14,29,"Brown Algae",4,0.137931034482759
"98",2017,"Neah Bay","1",5,2,14,30,"Brown Algae",9,0.3
"99",2017,"Neah Bay","1",5,3,14,30,"Brown Algae",17,0.566666666666667
"100",2017,"Neah Bay","1",5,4,12,30,"Brown Algae",7,0.233333333333333
"101",2017,"Neah Bay","1",10,1,23,30,"Brown Algae",2,0.0666666666666667
"102",2017,"Neah Bay","1",10,2,24,30,"Brown Algae",4,0.133333333333333
