SITE,ZONE,CLASSCODE,MEAN,SD,N,SE
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0.3000000000000001,28,0.0566946709513841
Destruction Island,5,BEDRK,0.9785714285714285,0.1795054935711504,28,0.033923349639940543
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0.372677996249965,28,0.07042952122737639
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0.2494438257849294,28,0.04714045207910316
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0.2494438257849294,28,0.04714045207910316
Destruction Island,5,BEDRK,0.9785714285714285,0.3000000000000001,28,0.0566946709513841
Destruction Island,5,BEDRK,0.9785714285714285,0.2494438257849294,28,0.04714045207910316
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BEDRK,0.9785714285714285,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0.37267799624996495,28,0.07042952122737638
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0.24944382578492943,28,0.04714045207910317
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0.24944382578492943,28,0.04714045207910317
Destruction Island,5,BOULD,0.016666666666666666,0.30000000000000004,28,0.05669467095138409
Destruction Island,5,BOULD,0.016666666666666666,0.24944382578492943,28,0.04714045207910317
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,BOULD,0.016666666666666666,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0.30000000000000004,28,0.05669467095138409
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,COB,0.0035714285714285718,0,28,0
Destruction Island,5,SAND,0.0011904761904761904,0,28,0
Destruction Island,5,SAND,0.0011904761904761904,0,28,0
Destruction Island,5,SAND,0.0011904761904761904,0,28,0
Destruction Island,5,SAND,0.0011904761904761904,0,28,0
Destruction Island,5,SAND,0.0011904761904761904,0,28,0
Destruction Island,5,SAND,0.0011904761904761904,0,28,0
Destruction Island,5,SAND,0.0011904761904761904,0,28,0
