"","x"
"1","anemone"
"2","blood.star"
"3","brood.star"
"4","chiton"
"5","crabs"
"6","cucumber"
"7","green.urchin"
"8","hermit_crabs"
"9","kelp.crab"
"10","large.star"
"11","leather.star"
"12","medium.star"
"13","nudibranch"
"14","Pisaster"
"15","purple.urchin"
"16","Pynopodia"
"17","red.urchin"
"18","shelled.gastropod"
"19","sponge"
"20","tunicate"
