"Site","Mean 2003-2013","Mean 2014-2016","Max 2014","Mean 2017-2021","Diff"
"Cape Alava","14.8 (0.9)","15.4 (0.3)",15.41,"14.9 (0.8)",0.6
"Cape Johnson","15.2 (0.9)","15.7 (0.2)",15.58,"15.5 (0.8)",0.5
"Destruction Island","15.7 (1.1)","16.2 (0.5)",15.62,"16.1 (1)",0.5
"Neah Bay","14.2 (1.1)","14.5 (0.7)",15.23,"14.5 (0.8)",0.2
"Tatoosh Island","14.2 (1.1)","14.5 (0.7)",15.23,"14.5 (0.8)",0.2
