"Site","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Tatoosh Island-Neah Bay",14.7,13.6,13.3,13.9,15.6,12.8,14,14.4,13.5,14.3,16.5,15.2,14,14.2,14.2,13.8,15.9,14.3,14.2
"Cape Alava",14.9,14.6,14.3,14.1,15.8,13.3,14.9,14.7,14.3,15.3,16.5,15.4,15,15.7,14.8,14.5,16.1,14.2,15.1
"Cape Johnson",15.2,15.9,15.2,14.3,16.3,14,15.4,14.3,14.3,15.7,16.6,15.6,15.6,15.9,15,15.1,16.6,14.6,16.1
"Destruction Island",15.4,17.4,15.8,14.4,15.7,14.6,16.1,14.6,14.9,15.8,17.6,15.6,16.7,16.3,15.7,16.1,17.4,14.9,16.6
