"Term","Estimate","s.e.","t-value"
"Intercept",-68.6455179432995,101.884481274151,-0.673758329873496
"depth10",-0.0744125683448569,0.343139197664033,-0.216858257090507
"areaS",0.0616248612866095,0.972472771156691,0.0633692408819949
"year",0.0344313240465385,0.0504923655525741,0.681911486414469
"B_da",-0.0042586923968364,0.16827177155743,-0.0253084183842621
"W_day",-0.00261787375901787,0.0843613975969246,-0.0310316546855467
"W_daty",0.0010262095243748,0.0269069338509829,0.0381392220331829
