"Site","Y2013","Y2014","B12","B13","MHW","Diff12","Diff13","vs13","vs14"
"Neah Bay",16.17,15.23,13.89,14.0972727272727,14.48,0.589999999999998,0.382727272727273,2.28,1.13272727272727
"Tatoosh Island",16.17,15.23,13.89,14.0972727272727,14.48,0.589999999999998,0.382727272727273,2.28,1.13272727272727
"Cape Alava",16.51,15.41,14.614,14.7863636363636,15.3533333333333,0.739333333333335,0.566969696969696,1.896,0.623636363636363
"Cape Johnson",16.63,15.58,15.047,15.1909090909091,15.71,0.662999999999998,0.519090909090909,1.583,0.38909090909091
"Destruction Island",17.57,15.62,15.423,15.6181818181818,16.19,0.766999999999999,0.571818181818182,2.147,0.00181818181818016
