"","(Intercept)","Macro","Nereo","Ptery","understory","canopy_kelp","under2","df","logLik","AICc","delta"
"17",-0.273965548841727,NA,NA,NA,NA,2.55300742016986,NA,4,-31.2426599338103,71.0048003871011,0
"18",-0.954705668138416,NA,NA,NA,NA,2.48444100892268,0.672818044805325,5,-30.739482445123,72.2684385744565,1.26363818735543
"1",-0.272077350654811,2.5169093271517,2.57003151772994,NA,NA,NA,NA,5,-31.2422519551431,73.2739775944966,2.26917720739553
"21",-1.11548747078101,1.63334166865428,2.88168422758066,NA,NA,NA,0.861516718980513,6,-30.5748509345405,74.2697018690811,3.26490148197998
"22",-1.22695604098043,NA,2.96855716671681,NA,NA,NA,1.34842210606859,5,-31.7406406382623,74.2707549607352,3.26595457363406
"2",-0.655132908656635,1.83886640344502,2.78463863739043,0.581677136970745,NA,NA,NA,6,-30.882219489877,74.884438979754,3.87963859265292
"3",-0.378833662137169,2.5351620564628,2.5604603413522,NA,0.359161291960412,NA,NA,6,-31.1776087033987,75.4752174067974,4.4704170196963
"4",-0.487666739271309,NA,2.80732048613597,1.01682494847809,NA,NA,NA,5,-32.6155339727655,76.0205416297416,5.01574124264052
"5",-1.2352470520733,NA,2.96481838376424,1.33459290170474,1.41272355822053,NA,NA,6,-31.7380361316791,76.5960722633583,5.59127187625718
"6",-1.12302964023718,1.64573883845361,2.87674331725075,0.850824937217454,0.910602884820293,NA,NA,7,-30.5733636214566,76.6602407564266,5.65544036932552
"7",0.460973001602145,NA,2.49380106819848,NA,NA,NA,NA,4,-34.2103414209167,76.940163361314,5.93536297421291
"8",0.253759367005421,NA,2.49581637087373,NA,0.649072545505682,NA,NA,5,-33.9728738394354,78.7352213630813,7.73042097598015
"23",0.0823124293330723,1.45833552174153,NA,NA,NA,NA,0.854092833372339,5,-35.9205662746216,82.6306062334538,11.6258058463527
"19",0.116180850416033,NA,NA,NA,NA,NA,1.15544902085409,4,-37.0750363593256,82.6695532381317,11.6647528510306
"24",0.116180850416033,NA,NA,NA,NA,NA,1.15544902085409,4,-37.0750363593256,82.6695532381317,11.6647528510306
"9",0.568321716239618,1.98332846527209,NA,NA,1.02231919481245,NA,NA,5,-36.6719676096058,84.1334089034221,13.128608516321
"10",0.873997351030137,1.83787668708883,NA,NA,NA,NA,NA,4,-37.9847571596913,84.4889948388631,13.4841944517621
"11",0.00490749883119937,1.53787716796018,NA,0.734739472543,1.3131677959568,NA,NA,6,-35.729444382777,84.578888765554,13.5740883784529
"12",0.0468474495859065,NA,NA,1.06078562454482,1.56494338870933,NA,NA,5,-36.9329598664916,84.6553934171937,13.6505930300927
"13",0.523116786720442,1.55056627057731,NA,0.577278998459494,NA,NA,NA,5,-37.0709000447007,84.931273773612,13.9264733865109
"14",0.737068062147706,NA,NA,0.839937332350928,NA,NA,NA,4,-38.6998657127134,85.9192119449073,14.9144115578062
"15",1.03692033089233,NA,NA,NA,1.12488930614133,NA,NA,4,-39.1322376012855,86.7839557220515,15.7791553349504
"16",1.39302811522086,NA,NA,NA,NA,NA,NA,3,-40.8518916861886,88.0114756800696,17.0066752929685
"20",1.39302811522086,NA,NA,NA,NA,NA,NA,3,-40.8518916861886,88.0114756800696,17.0066752929685
