"Site","Y2013","Y2014","B12","B13","MHW","Diff12","Diff13","vs13","vs14"
"Neah Bay",12.5176086956522,12.043152173913,"11.7 (0.37)","11.7 (0.44)","12.5 (0.45)",0.831847826086959,0.754100790513835,0.855217391304349,0.303013833992095
"Tatoosh Island",12.5176086956522,12.043152173913,"11.7 (0.37)","11.7 (0.44)","12.5 (0.45)",0.831847826086959,0.754100790513835,0.855217391304349,0.303013833992095
"Cape Alava",13.5510869565217,12.9172826086957,"12.5 (0.46)","12.6 (0.55)","13.4 (0.54)",0.964021739130436,0.865434782608698,1.08445652173913,0.352065217391306
"Cape Johnson",13.9565217391304,13.3875,"12.9 (0.49)","13 (0.56)","13.9 (0.49)",0.961452898550723,0.866426218708829,1.04529347826087,0.381245059288538
"Destruction Island",14.2601086956522,13.9116304347826,"13.2 (0.71)","13.3 (0.75)","14.3 (0.4)",1.14114855072464,1.04119894598155,1.09944565217391,0.651017786561265
