"Site","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Neah Bay",12.1708695652174,12.3101086956522,11.5813043478261,11.5097826086957,11.8317391304348,11.2164130434783,11.7841304347826,11.228152173913,11.3404347826087,11.6509782608696,12.5176086956522,12.043152173913,12.9447826086957,12.4947826086957,12.125652173913,12.251847826087,13.3215217391304,12.1188043478261,12.0347826086957
"Tatoosh Island",12.1708695652174,12.3101086956522,11.5813043478261,11.5097826086957,11.8317391304348,11.2164130434783,11.7841304347826,11.228152173913,11.3404347826087,11.6509782608696,12.5176086956522,12.043152173913,12.9447826086957,12.4947826086957,12.125652173913,12.251847826087,13.3215217391304,12.1188043478261,12.0347826086957
"Cape Alava",12.7660869565217,13.1891304347826,12.3105434782609,12.0458695652174,12.9007608695652,11.8635869565217,12.6835869565217,11.7853260869565,12.4720652173913,12.649347826087,13.5510869565217,12.9172826086957,13.9925,13.3821739130435,13.065,12.898152173913,14.5604347826087,12.8158695652174,12.7319565217391
"Cape Johnson",13.0346739130435,13.6890217391304,12.6703260869565,12.2307608695652,13.3578260869565,12.5976086956522,13.2898913043478,12.1798913043478,12.8902173913043,13.1720652173913,13.9565217391304,13.3875,14.3723913043478,13.858152173913,13.3161956521739,13.2396739130435,15.0895652173913,13.2660869565217,13.229347826087
"Destruction Island",13.405652173913,14.3221739130435,12.8755434782609,12.2126086956522,12.2035869565217,13.0623913043478,13.8747826086957,12.6690217391304,13.1573913043478,13.8234782608696,14.2601086956522,13.9116304347826,14.7053260869565,14.2884782608696,13.1923913043478,13.5864130434783,15.8330434782609,13.7052173913043,13.2827173913043
