"Site","Y2013","Y2014","B12","B13","MHW","Diff12","Diff13","vs13","vs14"
"Tatoosh Island-Neah Bay",12.1971895424837,12.2391503267974,"11.5 (0.38)","11.5 (0.42)","12.4 (0.18)",0.926193899782136,0.860566448801745,0.721901960784313,0.698235294117648
"Cape Alava",13.1539869281046,13.0541830065359,"12.2 (0.44)","12.3 (0.5)","13.3 (0.3)",1.06728540305011,0.980661517132102,0.95286274509804,0.766434937611406
"Cape Johnson",13.6003921568627,13.4712418300654,"12.6 (0.42)","12.7 (0.5)","13.6 (0.23)",1.04186928104575,0.95035650623886,1.00664052287582,0.785977421271539
"Destruction Island",13.9945751633987,13.919477124183,"12.8 (0.74)","12.9 (0.79)","13.9 (0.09)",1.10162091503268,0.997046939988117,1.1503137254902,0.970641711229947
