"Site","Y2013","Y2014","B12","B13","MHW","Diff12","Diff13","vs13"
"Tatoosh Island-Neah Bay","16.48","15.23","14.002","14.2272727272727","14.48","0.477999999999998","0.252727272727272","2.478"
"Cape Alava","16.51","15.41","14.63","14.8009090909091","15.3533333333333","0.723333333333334","0.552424242424243","1.88"
"Cape Johnson","16.63","15.58","15.057","15.2","15.71","0.653","0.51","1.573"
"Destruction Island","17.57","15.64","15.467","15.6581818181818","16.1966666666667","0.729666666666667","0.538484848484851","2.103"
"Mean","16.7975","15.465","14.789","14.9715909090909","15.435","0.646","0.463409090909091","2.0085"
"1.0 s.d.","0.519061653370772","0.184481254693623","0.62614109166119","0.607376771616864","0.724443592364872","0.117265447533301","0.141559890620135","0.381021871638186"
