"","(Intercept)","all_kelps","canopy_kelp","Macro","Nereo","Ptery","other1","df","AICc","delta","n"
"1",1.37769432520094,NA,NA,NA,NA,NA,NA,4,238.186980754768,0,1
"2",1.49934153447349,NA,NA,-0.205643135349286,NA,NA,NA,5,240.4152656411,2.22828488633158,1
"3",1.33454499597767,NA,NA,NA,NA,NA,0.0708011372206974,5,241.67216374467,3.48518298990189,1
"4",1.43983459497442,NA,NA,NA,NA,-0.045507418935677,NA,5,242.628081410696,4.44110065592776,1
"5",1.29009193704021,NA,NA,NA,0.0746654004596003,NA,NA,5,242.731911589081,4.54493083431225,1
"6",1.44424372618546,NA,-0.0376397919595961,NA,NA,NA,NA,5,243.298972210137,5.11199145536909,1
"7",1.44160092155037,NA,NA,-0.212097650296401,NA,NA,0.101085171187589,6,243.868350702289,5.68136994752038,1
"8",1.44594506805778,-0.0177436841992197,NA,NA,NA,NA,NA,5,244.382553712848,6.19557295808011,1
"9",1.54664665956661,NA,NA,-0.204917069569994,NA,-0.0350285129906247,NA,6,244.992390220003,6.80540946523459,1
"10",1.44673274273371,NA,NA,-0.19485752375917,0.0412169370471271,NA,NA,6,245.356101293484,7.16912053871536,1
"11",1.3999434558067,NA,NA,NA,NA,-0.0691397996180067,0.111197492889684,6,245.954879572704,7.76789881793607,1
"12",1.28793674467786,NA,NA,NA,0.0704778533149025,NA,0.015191008871238,6,246.238474316556,8.05149356178808,1
"13",1.39887837008961,NA,-0.0599573798557521,NA,NA,NA,0.131408765925582,6,246.486400917844,8.29942016307589,1
"14",1.38783049224879,NA,NA,NA,0.103361112754591,-0.0970916812515272,NA,6,246.763774614929,8.57679386016108,1
"15",1.47183024564373,NA,-0.0308550029081119,NA,NA,-0.0284669735789106,NA,6,247.712579269435,9.52559851466626,1
"16",1.50288271133513,NA,NA,-0.211058605647804,NA,-0.0618660138801774,0.133639735128031,7,248.289307976364,10.1023272215958,1
"17",1.42272435543866,NA,NA,-0.204383505166162,0.0251146186709135,NA,0.0786973738804164,7,248.798286071248,10.6113053164799,1
"18",1.50845668225424,NA,NA,-0.187085784900375,0.0635446852950291,-0.0684263475395261,NA,7,249.667357127005,11.4803763722371,1
"19",1.37431870872788,NA,NA,NA,0.0955355862129988,-0.104413494491027,0.0527542826482478,7,250.251740961471,12.0647602067026,1
"20",1.43689039996849,NA,-0.0496097634238234,NA,NA,-0.0498492990489975,0.148294244104811,7,250.879921469368,12.6929407146002,1
"21",1.48608352503374,NA,NA,-0.196752899612817,0.0471420737778461,-0.0798439933422637,0.100422485161256,8,253.088419342197,14.9014385874288,1
