"Site","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Neah Bay",14.71,13.58,13.17,13.26,15.64,12.78,13.97,14.36,13.14,14.29,16.17,15.23,13.97,14.24,14.16,13.79,15.88,14.32,14.01
"Tatoosh Island",14.71,13.58,13.17,13.26,15.64,12.78,13.97,14.36,13.14,14.29,16.17,15.23,13.97,14.24,14.16,13.79,15.88,14.32,14.01
"Cape Alava",14.95,14.62,14.29,13.96,15.82,13.29,14.93,14.68,14.32,15.28,16.51,15.41,15,15.65,14.75,14.36,16.11,14.13,15.14
"Cape Johnson",15.15,15.93,15.17,14.26,16.34,13.99,15.4,14.22,14.33,15.68,16.63,15.58,15.6,15.95,14.99,14.8,16.61,14.54,16.07
"Destruction Island",15.39,17.42,15.79,14.22,15.65,14.63,16.1,14.34,14.91,15.78,17.57,15.62,16.66,16.29,15.19,15.89,17.42,14.71,16.04
