"","(Intercept)","all_kelps","canopy_kelp","Macro","Nereo","Ptery","other1","df","AICc","delta","n"
"1",-0.27396554903684,NA,2.55300741691261,NA,NA,NA,NA,4,71.0048003871016,0,1
"2",-1.15387705157621,1.4091789407853,NA,NA,NA,NA,NA,4,72.3899134794605,1.38511309235885,1
"3",-0.585916531815106,NA,2.49447328179576,NA,NA,0.445732289546745,NA,5,72.7430673347192,1.73826694761755,1
"4",-0.379821012646403,NA,2.55223756042016,NA,NA,NA,0.359623636102472,5,73.1448767692298,2.14007638212821,1
"5",-0.27207735581213,NA,NA,2.51690933920419,2.57003152965043,NA,NA,5,73.273977594494,2.2691772073924,1
"6",-0.977860552190484,NA,2.48664450714635,NA,NA,0.651688368578302,0.79723108029182,6,74.5806634697299,3.5758630826283,1
"7",-0.655136179284776,NA,NA,1.83887335037442,2.78464726757543,0.581675219708068,NA,6,74.8844389796215,3.87963859251983,1
"8",-0.378833388043714,NA,NA,2.53516164445221,2.56046145864868,NA,0.359155905601797,6,75.4752174068023,4.47041701970072,1
"9",-0.487666767722877,NA,NA,NA,2.80732055946141,1.01682496664005,NA,5,76.0205416297289,5.01574124262731,1
"10",-1.23524704984166,NA,NA,NA,2.96481838069023,1.33459290009619,1.41272355626459,6,76.5960722633586,5.59127187625698,1
"11",-1.12302963270534,NA,NA,1.64573885641032,2.87674330809936,0.850824926800441,0.91060287169752,7,76.6602407564262,5.65544036932458,1
"12",0.460973000182064,NA,NA,NA,2.49380106952302,NA,NA,4,76.9401633613137,5.93536297421204,1
"13",0.253759368114889,NA,NA,NA,2.49581636188492,NA,0.649072545775597,5,78.7352213630823,7.73042097598071,1
"14",0.568321715342319,NA,NA,1.98332847191648,NA,NA,1.02231919725524,5,84.1334089034217,13.1286085163201,1
"15",0.873997339467725,NA,NA,1.837876731353,NA,NA,NA,4,84.4889948376737,13.4841944505721,1
"16",0.00490749980970682,NA,NA,1.53787717154143,NA,0.734739471041348,1.31316779260864,6,84.5788887655539,13.5740883784523,1
"17",0.0468474754882905,NA,NA,NA,NA,1.06078559760979,1.56494333032111,5,84.6553934171963,13.6505930300947,1
"18",0.52311677845024,NA,NA,1.55056634592513,NA,0.577279000670337,NA,5,84.9312737736097,13.926473386508,1
"19",0.737068061999996,NA,NA,NA,NA,0.839937332716875,NA,4,85.9192119449461,14.9144115578445,1
"20",1.03692032910916,NA,NA,NA,NA,NA,1.1248892905821,4,86.7839557219244,15.7791553348228,1
"21",1.39302812722733,NA,NA,NA,NA,NA,NA,3,88.0114756796175,17.0066752925158,1
