plot.numb,Site,notes
1,Destruction Island,
2,Perkins Reef,offshore rock between Teahwhit and Destruction
3,Teawhit Head,
4,Rock 305,
5,Cape Johnson,
6,Cape Alava,
7,Umatilla Reef,Offshore rock off Cape Alava
8,Pt. of the Arches,
9,Makah Bay,
10,Cape Flattery,
11,Tatoosh Island,
12,Anderson Point,
13,W. Chibahdehl,
14,Neah Bay,
