Map_index,Spname,Spnum,Rdi,Year surveyed,ESP site name,Buffer radius,Polygon.area.m2
19.1,Macrocystis integrifolia,1,0.44,1990,Cape Alava,1000 m,394736.184
19.1,Macrocystis integrifolia,1,0.44,1990,Cape Alava,1000 m,7413.278
19.1,Macrocystis integrifolia,1,0.44,1990,Cape Alava,1000 m,774.952
18.1,Macrocystis integrifolia,1,0.21,1990,Point of the Arches,1000 m,19893.32
17.2,Macrocystis integrifolia,1,0.19,1990,Anderson Point,1000 m,7741.413
17.2,Macrocystis integrifolia,1,0.19,1990,Anderson Point,1000 m,7265.603
17.3,Macrocystis integrifolia,1,0.08,1990,Anderson Point,1000 m,3014.109
17.3,Macrocystis integrifolia,1,0.08,1990,Anderson Point,1000 m,1440.329
16.2,Macrocystis integrifolia,1,0.5,1990,Chibadehl Rocks,1000 m,17032.261
16.2,Macrocystis integrifolia,1,0.5,1990,Chibadehl Rocks,1000 m,27306.189
16.2,Macrocystis integrifolia,1,0.5,1990,Neah Bay,1000 m,414245.341
25.2,mixed,3,0.13,1990,Destruction Island SW,500 m,13798.24
25.2,mixed,3,0.13,1990,Destruction Island SW,500 m,10183.049
18.1,mixed,3,0.21,1990,Point of the Arches,500 m,19324.659
16.2,mixed,3,0.5,1990,Chibadehl Rocks,500 m,148878.184
25.2,mixed,3,0.13,1990,Destruction Island SW,1000 m,13798.24
25.2,mixed,3,0.13,1990,Destruction Island SW,1000 m,10183.049
18.1,mixed,3,0.21,1990,Point of the Arches,1000 m,19324.659
16.2,mixed,3,0.5,1990,Chibadehl Rocks,1000 m,310601.323
22.1,Nereocystis luetkeana,2,0.1,1990,Teahwhit Head,500 m,6628.612
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,10762.809
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,75609.058
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,9161.613
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,591.843
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,7618.83
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,731.937
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,664.771
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,2065.197
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,2877.408
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,932.334
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,500 m,1718.62
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,500 m,3800.592
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,500 m,1139.556
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,500 m,2936.778
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,500 m,27066.806
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,500 m,1339.205
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,500 m,2979.132
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,500 m,4167.029
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,500 m,49961.165
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,500 m,2518.334
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,500 m,7872.752
16.2,Nereocystis luetkeana,2,0.5,1990,Chibadehl Rocks,500 m,26470.702
16.2,Nereocystis luetkeana,2,0.5,1990,Chibadehl Rocks,500 m,49245.856
16.2,Nereocystis luetkeana,2,0.5,1990,Neah Bay,500 m,111860.393
22.1,Nereocystis luetkeana,2,0.1,1990,Teahwhit Head,1000 m,6628.612
21.1,Nereocystis luetkeana,2,0.18,1990,Cape Johnson,1000 m,11562.202
21.1,Nereocystis luetkeana,2,0.18,1990,Cape Johnson,1000 m,5793.925
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,104.82
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,9273.155
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,31266.782
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,3818.094
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,75609.058
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,1430.853
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,12466.25
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,591.843
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,3992.66
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,7618.83
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,1315.046
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,664.771
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,2065.197
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,2877.408
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,932.334
19.1,Nereocystis luetkeana,2,0.44,1990,Cape Alava,1000 m,1718.62
18.1,Nereocystis luetkeana,2,0.21,1990,Point of the Arches,1000 m,7422.891
18.1,Nereocystis luetkeana,2,0.21,1990,Point of the Arches,1000 m,2637.529
17.2,Nereocystis luetkeana,2,0.19,1990,Anderson Point,1000 m,2465.341
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,47696.119
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,2516.846
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,1737.34
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,1426.674
17.2,Nereocystis luetkeana,2,0.19,1990,Anderson Point,1000 m,1708.961
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,5095.242
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,25545.366
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,4651.862
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,121.581
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,1139.556
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,9805.026
17.2,Nereocystis luetkeana,2,0.19,1990,Anderson Point,1000 m,456.111
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,3975.475
17.3,Nereocystis luetkeana,2,0.08,1990,Anderson Point,1000 m,3017.226
17.2,Nereocystis luetkeana,2,0.19,1990,Anderson Point,1000 m,1775.71
17.2,Nereocystis luetkeana,2,0.19,1990,Anderson Point,1000 m,1220.381
17.2,Nereocystis luetkeana,2,0.19,1990,Anderson Point,1000 m,7930.032
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,27066.806
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,1339.205
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,2979.132
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,6463.244
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,7744.243
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,54356.576
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,4086.355
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,2518.334
16.3,Nereocystis luetkeana,2,0.16,1990,Tatoosh Island,1000 m,18217.617
16.4,Nereocystis luetkeana,2,0.19,1990,Tatoosh Island,1000 m,850.285
