SITE,Site,Year,Survey,Source,Lat.deg,Lat.min,Lon.deg,Lon.min,depth.m,depth.m.simple,n.quad,group,alt.name,PISCO.sp,mean,sd,notes
Teawhit Head,Teawhit Head,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,47,52.16,124,36.324,,4,100,urchin,,,0.33,0.753,
Tatoosh Island,Tatoosh Island,1999,Quadrat,"Kvitek 1999, Appx B1-99",48,23.428,124,44.283,12,12,32,urchin,,,0.25,0.98,
Neah Bay,Neah Bay,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.143,124,37.877,6,6,16,urchin,,,0.5,2,
Anderson Pt. (Osprey I),Anderson Pt.,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,18.387,124,40.307,,4,99,urchin,,,3.33,2.611,
Makah Bay,Makah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,48,19.061,124,40.307,,4,49,urchin,,,6.69,3.63,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-horiz,6,13,urchin,,,1.23,4.44,
Pt. of the Arches,Pt. of the Arches,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,35,urchin,,,4.42,5.022,
Neah Bay (in),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,urchin,,,21.14,9.36,
Neah Bay (out),Neah Bay,1987,Quadrat,Kvitex1988_extracts.pdf Transect Summary sheet 87; Kvitek_1989 Table1; Kvitek1988 Table2,,,,,,4,50,urchin,,,12.3,9.93,
Cape Flattery,Cape Flattery,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.304,124,43.382,18-21,20,32,urchin,,,6.25,12.1,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,6-slope,6,27,urchin,,,13.33,15.21,
Tatoosh Island,Tatoosh Island,1995,Quadrat,"Kvitek 1999, Appx B1-95",48,23.428,124,44.283,12,12,30,urchin,,,35.33,16.21,
