Broad taxonomic category,drop down,Scientific name,common name,taxonomic group,functional group,otter food?,notes
Limpet,Diodora aspera,Diadora aspera,rough keyhole limpet,gastropods,limpets,,
Chiton,Chiton,,,chitons,chitons,R,
Chiton,Gumboot chiton,Cryptochiton stelleri,gumboot chiton,chitons,chitons,R,
Chiton,Lepidozona cooperi,Lepidozona cooperi,drab lined chiton,chitons,chitons,R,
Chiton,Mopalia lignosa,Mopalia lignosa,woody chiton,chitons,chitons,R,
Chiton,Mopalia muscosa,Mopalia muscosa,mossy chiton,chitons,chitons,R,
Chiton,Mopalia spp.,,,chitons,chitons,R,
Chiton,Placiphorella velata,Placiphorella velata,veiled chiton,chitons,chitons,R,
Chiton,Tonicella lineata,Tonicella lineata,lined chiton,chitons,chitons,R,
Mollusk,Mollusks - Other,,,,,,
Scallop,Rock scallop,Crassodoma gigantea,giant rock scallop,mollusks,bivalve,R,
Cockle,Clinocardium,Clinocardium nuttallii,Nuttall's cockle,mollusks,bivalve,C,
Mussel,Mytilus,Mytilus spp.,,mollusks,bivalve,C,
Jingle,jingle shell,Pododesmus cepio,jingle shell,mollusks,bivalve,,
Polychaete,Polychaete,,,polychaetes,,,
Polychaete,feather duster worm,Eudistylia vancouveri,northern feather duster worm,polychaetes,tubeworms,R,
Polychaete,Chone aurantiaca,Chone aurantiaca,orange feather duster,polychaetes,tubeworms,,
Polychaete,calcareous tube worm,,,polychaetes,tubeworms,,
Polychaete,tube worm,,,polychaetes,tubeworms,R,
Polychaete,Myxicola infundibulum,Myxicola infundibulum,,polychaetes,tubeworms,,
Nemertea,Nemertea,,,nemertea,ribbon worms,,
Arthropods,Arthropods,,,,,,
Shrimp,Pandalus danae,Pandalus danae,dock shrimp,decapods,shrimp,,
Shrimp,shrimp,,shrimp,decapods,shrimp,,
Shrimp,Mysids,Mysida,opossum shrimp,crustaceans,mysids,,
Amphipod,Amphipods,Amphipoda,amphipods,crustaceans,amphipods,,
Barnacle,Balanus nubilus,Balanus nubilus,acorn barnacle,arthropods,barnacles,,
Barnacle,barnacle,,,arthropods,barnacles,,
Shrimp,Hippolytidae,,hippolytid shrimp,decapods,shrimp,,
Fish,Fish,,,,,,
Fish,Lingcod,Ophiodon elongatus,Lingcod,greenlings,fish,,
Fish,Kelp greenling,Hexagrammos decagrammus,Kelp greenling,greenlings,fish,,
Fish,Painted greenling,Oxylebius pictus,painted greenling,greenlings,fish,,
Fish,Rock greenling,Hexagrammos lagocephalus,Rock greenling,greenlings,fish,,
Fish,Buffalo sculpin,Enophrys bison,Buffalo sculpin,sculpins,fish,,
Fish,Cabezon,Scorpaenichthys marmoratus,Cabezon,sculpins,fish,,
Fish,Great sculpin,Myoxocephalus polyacanthocephalus,Great sculpin,sculpins,fish,,
Fish,Longfin sculpin,Jordania zonope,Longfin sculpin,sculpins,fish,,
Fish,Red Irish Lord,Hemilepidotus hemilepidotus,Red Irish Lord,sculpins,fish,,
Fish,Scalyhead sculpin,Artedius harringtoni,Scalyhead sculpin,sculpins,fish,,
Fish,Spinynose sculpin,Asemichthys taylori,spinynose sculpin,sculpins,fish,,
Fish,sculpin,,,sculpins,fish,,
Fish,YOY rockfish (black dorsal spots),maybe canary?,,rockfish,fish,,
Fish,YOY rockfish,,,rockfish,fish,,
