Area,Simplified Distance (m)
Anderson Point,121130
Cape Alava,106110
Cape Johnson,83170
Rock 305,83000
Chibadehl Rock,137160
Destruction Island,43940
Neah Bay,141000
Point of the Arches,115760
Tatoosh Island,132860
Teahwhit Head,72000
Point Grenville,0
Pillar Point,184040
