Site,Number,Category,ID.numb,common.name
SAND POINT,1,Cape Alava,6,Sand Point
SAND POINT AREA*,1,Cape Alava,6,Sand Point
SAND POINT*,2,Cape Alava,6,Sand Point
SAND PT.,1,Cape Alava,6,Sand Point
SAND PT.*,2,Cape Alava,6,Sand Point
SAND PT.*1,2,Cape Alava,6,Sand Point
SOUTH END OZETTE ISLAND,2,Cape Alava,6,Ozette Island
SOUTH OF OZETTE RIVER,1,Cape Alava,6,Ozette River
Submarine Rock,22,Cape Alava,6,Submarine Rock
UMATILLA REEF,1,Cape Alava,6,Umatilla Reef
W Bodelteh,22,Cape Alava,6,Cape Alava
WEDDING ROCKS,6,Cape Alava,6,Wedding Rocks
WEDDING ROCKS/SE OZETTE ISLAND,1,Cape Alava,6,Wedding Rocks
WEST END OF BODELTEH,1,Cape Alava,6,Cape Alava
White Rock,22,Cape Alava,6,White Rocks
Yellow B Area,22,Cape Alava,6,Yellow Banks
YELLOW BANKS,1,Cape Alava,6,Yellow Banks
YELLOW BANKS AREA,2,Cape Alava,6,Yellow Banks
YELLOW BANKS AREA1,4,Cape Alava,6,Yellow Banks
YELLOWBANKS AREA,1,Cape Alava,6,Yellow Banks
Duk Point,22,Point of the Arches,5,Duk Point
DUK POINT,1,Point of the Arches,5,Duk Point
DUK POINT*,3,Point of the Arches,5,Duk Point
DUK PT.,1,Point of the Arches,5,Duk Point
DUK PT.*,2,Point of the Arches,5,Duk Point
DUK PT.*1,2,Point of the Arches,5,Duk Point
Father & Son,1,Point of the Arches,5,Father and Son
FATHER AND SON,1,Point of the Arches,5,Father and Son
FATHER AND SON*,6,Point of the Arches,5,Father and Son
INSHORE OF FATHER AND SON,1,Point of the Arches,5,Father and Son
POINT OF ARCHES,1,Point of the Arches,5,Point of the Arches
Pt of Arches,1,Point of the Arches,5,Point of the Arches
Pt of Arches/ Father & Son,21,Point of the Arches,5,Point of the Arches
PT. OF ARCHES,5,Point of the Arches,5,Point of the Arches
Shi Shi Beach,1,Point of the Arches,5,Shi Shi Beach
ANDERSON POINT*,2,Anderson Point,4,Anderson Point
Anderson Pt,1,Anderson Point,4,Anderson Point
ANDERSON PT.,3,Anderson Point,4,Anderson Point
ANDERSON PT.*,2,Anderson Point,4,Anderson Point
BAHOBOHOSH POINT,1,Anderson Point,4,Bahobohosh Point
BAHOBOHOSH PT.,3,Anderson Point,4,Bahobohosh Point
MAKAH BAY,1,Anderson Point,4,Waatch Point
Makah Bay/Waatch Pt.,22,Anderson Point,4,Waatch Point
N. OF ANDERSON POINT,1,Anderson Point,4,North Anderson Point
NORTH KAYOSTLA BEACH,2,Cape Johnson,4,Kayostla Beach
Portage Head/Anderson Pt,21,Anderson Point,4,Portage Head
S. Portage Head,1,Anderson Point,4,Portage Head
S. PORTAGE HEAD,1,Anderson Point,4,Portage Head
SOUTH OF PORTAGE HEAD,1,Anderson Point,4,Portage Head
WAATCH PT.,3,Anderson Point,4,Waatch Point
ARCHAWAT CREEK,1,Tatoosh Island,3,Archawat Creek
Fuca Pillar,22,Tatoosh Island,3,Fuca Pillar
FUCA PILLAR,1,Tatoosh Island,3,Fuca Pillar
MUSHROOM ROCK,1,Tatoosh Island,3,Mushroom Rock
TATOOSH I.,1,Tatoosh Island,3,Tatoosh Island
Tatoosh Island,22,Tatoosh Island,3,Tatoosh Island
TATOOSH ISLAND,6,Tatoosh Island,3,Tatoosh Island
MIDWAY BEACH,1,Chibadehl Rock,2,Midway Beach
MIDWAY POINT,2,Chibadehl Rock,2,Midway Point
SLANT ROCK,2,Chibadehl Rock,2,Slant Rock
Pillar Point,1,East Juan De Fuca,1,Pillar Point
WAADAH ISLAND,2,Neah Bay,1,Waadah Island
Waddah Island,22,Neah Bay,1,Waadah Island
