"location","Year","prop.pop","tot.pop","mean.init","abund.ratio","log.ratio"
"Anderson Point",1977,0.0664355614162859,1.26227566690943,46.7300845090966,0.0270120561554669,-3.61147198836355
"Anderson Point",1985,0.0383233049344791,2.49101482074114,46.7300845090966,0.0533064480175771,-2.9316979791878
"Anderson Point",1991,0.241485116665213,66.6498921995987,46.7300845090966,1.42627373564078,0.355065264047457
"Anderson Point",1995,0.298639267662131,117.962510726542,46.7300845090966,2.52433762886901,0.925978703113659
"Anderson Point",1983,0.0917468080525707,4.77083401873368,46.7300845090966,0.102093417310319,-2.28186702885454
"Anderson Point",1990,0.195593711365198,41.2702730980568,46.7300845090966,0.883162817521183,-0.124245704072446
"Anderson Point",1994,0.215507041449151,77.5825349216943,46.7300845090966,1.66022671982525,0.506954171250481
"Anderson Point",1981,0.0926767801520282,3.33636408547301,46.7300845090966,0.0713964915861333,-2.639506548293
"Anderson Point",1989,0.155144654950165,32.2700882296343,46.7300845090966,0.690563446838033,-0.370247424998403
"Anderson Point",1993,0.242437562749857,74.428331764206,46.7300845090966,1.59272837928888,0.465448507468635
"Anderson Point",1978,0.0131487998756478,0.157785598507773,46.7300845090966,0.00337653141793609,-5.69090630411007
"Anderson Point",1987,0.0926825331130006,9.17557077818706,46.7300845090966,0.196352539794806,-1.62784356300329
"Anderson Point",1992,0.183637126519002,57.4784206004475,46.7300845090966,1.23000891618885,0.207021418292081
"Anderson Point",1996,0.14328238806036,61.6114268659549,46.7300845090966,1.31845314454677,0.276459189241394
"Anderson Point",2000,0.0688436866727747,34.6972180830785,46.7300845090966,0.742502789104184,-0.297728651943066
"Anderson Point",2004,0.0789645455842644,58.6706573691084,46.7300845090966,1.2555221756059,0.227551562228054
"Anderson Point",2008,0.0488815435595216,55.8716042885331,46.7300845090966,1.19562386577018,0.178668112561791
"Anderson Point",1999,0.100004954649417,60.402992608248,46.7300845090966,1.2925932671166,0.256650485041974
"Anderson Point",2003,0.115108013122597,77.352584818385,46.7300845090966,1.65530590477163,0.503985828468844
"Anderson Point",2007,0.0627211289410569,84.0463127810162,46.7300845090966,1.79854827278678,0.586979824375372
"Anderson Point",1998,0.104905366405093,45.4240236534053,46.7300845090966,0.972050963112703,-0.0283470447102563
"Anderson Point",2002,0.126492002675109,69.6970934739848,46.7300845090966,1.49148229039512,0.399770451214689
"Anderson Point",2006,0.045428139294601,35.8882300427348,46.7300845090966,0.767989838232556,-0.263978777390027
"Anderson Point",1997,0.124859027938339,62.6792320250464,46.7300845090966,1.34130363091565,0.293641999934582
"Anderson Point",2001,0.153905368320878,85.4174794180875,46.7300845090966,1.82789054022489,0.603162591712244
"Anderson Point",2005,0.0936104294679533,76.198889586914,46.7300845090966,1.63061741461394,0.488958725070632
"Anderson Point",2010,0.0451556792947956,46.3748826357551,46.7300845090966,0.992398860882171,-0.00763017500657359
"Anderson Point",2015,0.0321472702137572,44.8132946779775,46.7300845090966,0.958981674198643,-0.0418833135631995
"Anderson Point",2011,0.0561949431303692,68.4454407327897,46.7300845090966,1.46469755943767,0.381648777086668
"Anderson Point",2012,0.0458590216008662,50.6742188689571,46.7300845090966,1.08440246580536,0.081029112528905
"Anderson Point",2013,0.0251467996187712,37.2927038346377,46.7300845090966,0.79804486181441,-0.225590465299947
"Cape Alava",1983,0.652310713978877,33.9201571269016,128.516009284892,0.263937211524426,-1.33204403925783
"Cape Alava",1985,0.584762011037002,38.0095307174051,128.516009284892,0.295757166199787,-1.21821654581775
"Cape Alava",1991,0.417285295972232,115.170741688336,128.516009284892,0.896158714616073,-0.10963774484579
"Cape Alava",1981,0.578724507001482,20.8340822520533,128.516009284892,0.162112738856283,-1.81946326692305
"Cape Alava",1989,0.640642253189584,133.253588663434,128.516009284892,1.03686372931204,0.0362005120416864
"Cape Alava",1990,0.649875343615669,137.123697502906,128.516009284892,1.06697755607189,0.0648299374890974
"Cape Alava",1978,0.0866221186701347,1.03946542404162,128.516009284892,0.00808821741217741,-4.81734691679224
"Cape Alava",1987,0.520097146261199,51.4896174798587,128.516009284892,0.400647497275748,-0.914673297437376
"Cape Alava",1992,0.281835297421951,88.2144480930706,128.516009284892,0.686408242707867,-0.376282722273455
"Cape Alava",1977,0.400262615593737,7.604989696281,128.516009284892,0.0591754267705465,-2.82724891160055
"Cape Alava",2000,0.237115640924002,119.506283025697,128.516009284892,0.929894132961893,-0.0726845348394364
"Cape Alava",2004,0.209717591937956,155.820170809901,128.516009284892,1.21245727810052,0.192649108652478
"Cape Alava",1995,0.498795242785406,197.024120900235,128.516009284892,1.53307064230011,0.427272679910889
"Cape Alava",1999,0.33294643026199,201.099643878242,128.516009284892,1.56478282353483,0.447747043458284
"Cape Alava",2003,0.250152947127045,168.102780469374,128.516009284892,1.30802988207273,0.268522098395399
"Cape Alava",1994,0.439964575840512,158.387247302584,128.516009284892,1.23243203849782,0.208989484236139
"Cape Alava",1998,0.490008237236903,212.173566723579,128.516009284892,1.65095047616392,0.50135116822154
"Cape Alava",2002,0.276881390834224,152.561646349657,128.516009284892,1.1871022699706,0.171515270273819
"Cape Alava",1993,0.248142336044151,76.1796971655542,128.516009284892,0.592764260183963,-0.522958496655885
"Cape Alava",1997,0.468705042449996,235.289931309898,128.516009284892,1.83082195454974,0.604765021504856
"Cape Alava",2001,0.374803461955786,208.015921385461,128.516009284892,1.61859929002569,0.481561139444554
"Cape Alava",2005,0.213744688698681,173.988176600726,128.516009284892,1.35382492476118,0.3029338638855
"Cape Alava",1996,0.609187088586525,261.950448092206,128.516009284892,2.03827094810825,0.712101874005067
