Site.100m.radius,kelp.map.index,weight
Anderson Point,17.2,0.624
Anderson Point,17.3,0.376
Cape Alava,19.1,1
Cape Johnson,21.1,1
Chibadehl Rocks,16.2,1
Destruction Island SW,25.2,1
Neah Bay,15.4,0.005
Neah Bay,16.2,0.995
Point of the Arches,18.1,1
Rock 305,21.2,1
Tatoosh Island,16.3,0.839
Tatoosh Island,16.4,0.161
Teahwhit Head,22.1,0.378
Teahwhit Head,22.2,0.62
