"year","site","area","zone","MIN.t","MAX.t","N.t"
2022,"Cape Johnson","S","5",1,1,1
2022,"Cape Alava","E","10",1,4,4
2022,"Cape Alava","E","5",1,4,4
2022,"Cape Alava","W","10",1,3,3
2022,"Cape Alava","W","5",1,4,4
2022,"Tatoosh Island","N","10",1,2,2
2022,"Tatoosh Island","N","5",1,5,5
2022,"Tatoosh Island","S","10",1,4,4
2022,"Tatoosh Island","S","5",1,3,3
2022,"Neah Bay","N","10",1,2,2
2022,"Neah Bay","N","5",1,4,4
2022,"Neah Bay","S","10",1,3,3
2022,"Neah Bay","S","5",1,4,4
2023,"Destruction Island","N","10",1,3,3
2023,"Destruction Island","N","5",1,4,4
2023,"Destruction Island","S","5",1,4,4
2023,"Destruction Island",NA,"10",1,4,4
2023,"Cape Johnson","N","10",1,4,4
2023,"Cape Johnson","N","5",1,4,4
2023,"Cape Johnson","S","10",1,5,5
2023,"Cape Johnson","S","5",1,4,4
2023,"Cape Alava","E","10",1,4,4
2023,"Cape Alava","E","5",1,4,4
2023,"Cape Alava","W","10",1,4,4
2023,"Cape Alava","W","5",1,4,4
2023,"Tatoosh Island","N","10",1,4,4
2023,"Tatoosh Island","S","10",1,4,4
2023,"Tatoosh Island","S","5",1,4,4
2023,"Tatoosh Island",NA,"5",1,4,4
2023,"Neah Bay","N","10",1,4,4
2023,"Neah Bay","N","5",1,4,4
2023,"Neah Bay","S","10",1,3,3
2023,"Neah Bay","S","5",1,6,6
2024,"Destruction Island","N","10",1,3,3
2024,"Destruction Island","N","5",1,4,4
2024,"Destruction Island","S","10",1,3,3
2024,"Destruction Island","S","5",1,4,4
2024,"Cape Johnson","N","10",1,3,3
2024,"Cape Johnson","N","5",1,3,3
2024,"Cape Johnson","S","10",1,3,3
2024,"Cape Johnson","S","5",1,3,3
2024,"Cape Alava","E","10",1,4,4
2024,"Cape Alava","E","5",1,4,4
2024,"Cape Alava","W","10",1,3,3
2024,"Cape Alava","W","5",1,4,4
2024,"Tatoosh Island","N","10",1,5,5
2024,"Tatoosh Island","N","5",1,4,4
2024,"Tatoosh Island","S","10",1,4,4
2024,"Tatoosh Island","S","5",1,4,4
2024,"Neah Bay","N","10",1,5,5
2024,"Neah Bay","N","5",1,4,4
2024,"Neah Bay","S","10",1,4,4
2024,"Neah Bay","S","5",1,4,4
2025,"Destruction Island","N","10",1,4,4
2025,"Destruction Island","N","10a",1,3,3
2025,"Destruction Island","N","5",1,4,4
2025,"Destruction Island","S","5",1,4,4
2025,"Cape Johnson","N","10",1,4,4
2025,"Cape Johnson","N","5",1,4,4
2025,"Cape Johnson","S","10",1,4,4
2025,"Cape Johnson","S","5",1,4,4
2025,"Cape Alava","E","10",1,4,4
2025,"Cape Alava","E","5",1,4,4
2025,"Cape Alava","W","10",1,3,3
2025,"Cape Alava","W","5",1,4,4
2025,"Tatoosh Island","N","10",1,3,3
2025,"Tatoosh Island","N","5",1,4,4
2025,"Tatoosh Island","S","10",1,3,3
2025,"Tatoosh Island","S","5",1,4,4
2025,"Neah Bay","N","10",1,4,4
2025,"Neah Bay","N","5",1,4,4
2025,"Neah Bay","S","10",1,4,4
2025,"Neah Bay","S","5",1,4,4
