"","Species","Common name","Total"
"1","Sebastes mela-flav Juveniles","yellowtail-black Juveniles",5874
"2","Sebastes mystinus","blue rockfish",338
"3","Sebastes caurinus","copper rockfish",234
"4","Sebastes pinniger","canary rockfish",233
"5","Sebastes Juveniles","rockfish_Juveniles",232
"6","Sebastes spp","rockfish",61
"7","Sebastes maliger","quillback rockfish",5
"8","Sebastes nebulosus","china rockfish",1
