"year","grand.mean","SE","q025","q05","q25","q75","q95","q975","complex"
2016,0.0229329116791547,0.014956278492302,0,0,0.0117259631973703,0.0327233647358191,0.0488935531784433,0.0546085906530986,"RYOY"
2017,0.214572174342245,0.0612796386763158,0.0984053113659276,0.115728645357432,0.172549420744388,0.254972840249618,0.317039465856747,0.338173636638936,"RYOY"
2018,0.242948763071883,0.0866080442444569,0.0718741604136385,0.0991627773401768,0.184677330531844,0.300560426219996,0.386354329718594,0.414448314013813,"RYOY"
2019,0.78209634227413,0.399192365479325,0.117960920760907,0.168367912998241,0.482306197355999,1.05015513632873,1.46960697180468,1.61053356182127,"RYOY"
2021,1.57260805986695,0.76166660792607,0.165049677408734,0.269592159036615,1.04092312613964,2.07671549971451,2.85926699666597,3.13035693474321,"RYOY"
2022,0,0,0,0,0,0,0,0,"RYOY"
2023,0.322724016072304,0.077241841020359,0.171332022205127,0.195041022547143,0.270607321279097,0.374442786871392,0.44978678295755,0.474440409210087,"RYOY"
2024,0.191607582080495,0.0693609755994676,0.0546221706422123,0.0777717110054363,0.145372256016597,0.23722738575396,0.306043303828237,0.329656082174739,"RYOY"
2025,0.643343175642847,0.186505236603986,0.29296380974635,0.342400822650116,0.512515363002935,0.768782299676886,0.955274429113095,1.01942047802078,"RYOY"
2016,24.6892971840974,3.41991044115689,17.9569022170785,19.0603185128362,22.3982188131819,26.9872106055153,30.3180995959039,31.4074618135059,"YTB"
2017,1.51450672583579,0.668804123974345,0.176626511601362,0.390982095174127,1.05091039955387,1.96408851698168,2.63207316284518,2.84901209518101,"YTB"
2018,0.0416530227680951,0.0191532906094981,0.00661509957269691,0.0113652683994672,0.0279606414056984,0.0543110233116831,0.0744255010243252,0.0812881484583867,"YTB"
2019,1.19465991236612,0.306977586058391,0.611792781293201,0.694823487476751,0.981568023007561,1.40164933724953,1.70738496559959,1.80495149091007,"YTB"
2021,3.34977059171063,0.589328510966096,2.19639242173768,2.38489915411787,2.95361063887063,3.74370047188775,4.32398308913336,4.51602004665434,"YTB"
2022,0.103758497868066,0.0344196056504135,0.0383203770107096,0.0476442974297679,0.0798937306467444,0.127000749127168,0.161220421943353,0.172322213921043,"YTB"
2023,0.738833963316828,0.198491314097989,0.349138332250596,0.410498995993097,0.60382266241486,0.87220614445283,1.06752412067414,1.13310241926042,"YTB"
2024,3.62040060454143,1.08861158783267,1.61007469868005,1.8265337485248,2.85499964439638,4.35256393389813,5.44516790535193,5.81493953421812,"YTB"
2025,7.45322791490803,1.30990254386973,4.88716504856747,5.30909431282854,6.57075470879433,8.32747265848939,9.61414674665754,10.0418282202666,"YTB"
2016,0,0,0,0,0,0,0,0,"CQB"
2017,0,0,0,0,0,0,0,0,"CQB"
2018,0,0,0,0,0,0,0,0,"CQB"
2019,0.447814402552989,0.134596218862913,0.193459836338269,0.229614298690442,0.354004362697916,0.538435026693325,0.672259341221628,0.716999116943267,"CQB"
2021,0.464851710652893,0.171973696120733,0.120615499037293,0.178205051299448,0.34774600814039,0.579917806575507,0.749653967015948,0.805830155540198,"CQB"
2022,0,0,0,0,0,0,0,0,"CQB"
2023,0,0,0,0,0,0,0,0,"CQB"
2024,0.00753628758158393,0.00487514259885929,0,0,0.00383671548586967,0.0108661465613225,0.0159641648411199,0.0175842190721247,"CQB"
2025,0.529145661744115,0.164743825421349,0.205080871835456,0.254615375639595,0.417329079890512,0.638987974524478,0.802808241497818,0.855393081018734,"CQB"
2016,0.188511830762039,0.0776682401558031,0.046372541049049,0.0644107919059108,0.133472028326483,0.240310216650556,0.319850678566371,0.346987758399493,"SEPI"
2017,0,0,0,0,0,0,0,0,"SEPI"
2018,0.433503716149057,0.107193811498379,0.225192177660408,0.258886374308485,0.361082109335134,0.504953839330199,0.610911384365397,0.646531722808358,"SEPI"
