"year","grand.mean","SE","q025","q05","q25","q75","q95","q975","complex"
2016,0.0227830163932944,0.0149011410579204,0,0,0.0116247176891122,0.0325871825477092,0.0486294973452316,0.0542760854680503,"RYOY"
2017,0.214279457011911,0.0611018874673615,0.0984421213123258,0.115447376542906,0.172437289936559,0.254610143096024,0.316591487670415,0.337615633806127,"RYOY"
2018,0.242963275100366,0.0868894666184546,0.0705143327528652,0.0992274040356367,0.184461599738527,0.300594629681903,0.387000482736358,0.416120770512828,"RYOY"
2019,0.78262750302247,0.40015423677442,0.117694569671543,0.166103583036906,0.483561337227469,1.05169652819417,1.46723486682162,1.61263995177929,"RYOY"
2021,1.55896403641106,0.76190197520514,0.160263333490518,0.255988386770013,1.02558850928853,2.06763154102229,2.84656875034198,3.1028839388324,"RYOY"
2022,0,0,0,0,0,0,0,0,"RYOY"
2023,0.322659981976279,0.0770836770576171,0.171568346549363,0.196304365796452,0.270833183713977,0.374129040798263,0.450303890877571,0.474784449489372,"RYOY"
2024,0.19146855055365,0.0696874136467774,0.0529052979201947,0.076430557837651,0.145012123412808,0.237936500899719,0.306239164901346,0.329017754032197,"RYOY"
2025,0.642342123082756,0.186958280264946,0.293587629441326,0.341936528609719,0.511323968325213,0.766614194704739,0.957301832875447,1.0209454419204,"RYOY"
2026,0,0,0,0,0,0,0,0,"RYOY"
2016,24.6999373081844,3.42642509799438,17.931009907704,19.0567775838302,22.4011811021742,26.992220772894,30.3364056694127,31.4398141734763,"YTB"
2017,1.51660544080968,0.666189878507981,0.176584653094325,0.394200252685667,1.06052791786716,1.96152357749495,2.62936305774543,2.85057758899077,"YTB"
2018,0.0416635994339749,0.0191062283761303,0.00684060098143875,0.0115494988762582,0.0279819036620101,0.0544449426379672,0.0743629319229555,0.0809619852167868,"YTB"
2019,1.1940575507893,0.305371033537044,0.614250070733474,0.69644787168159,0.982458932686579,1.3997171816995,1.70429148717729,1.80421475563275,"YTB"
2021,3.35301376533434,0.589372940722378,2.19624691371665,2.38148454251,2.95839265302349,3.74749635266286,4.32662047190649,4.50721985740759,"YTB"
2022,0.10387236658075,0.0340406593065487,0.0391406722120274,0.0485106361447089,0.0803953676445931,0.126852504930687,0.160730117912676,0.171707637037111,"YTB"
2023,0.737094400373708,0.199015356955632,0.343957870421722,0.406487144059252,0.602579947214931,0.871364333532832,1.06567227157743,1.1325217767654,"YTB"
2024,3.62453485586818,1.08722257342632,1.61784436843443,1.83123520792735,2.86448012740337,4.35423486834887,5.44812171677064,5.81446761209624,"YTB"
2025,7.46177818300555,1.31058044259276,4.88705173131282,5.31409693110331,6.57514797664195,8.33861784913652,9.61958912729785,10.0550185242778,"YTB"
2026,3.15007200828774,0.718420236586677,1.75101970711203,1.97880441983049,2.6647892224768,3.62604358964148,4.34358712659569,4.57910647377232,"YTB"
2016,0,0,0,0,0,0,0,0,"CQB"
2017,0,0,0,0,0,0,0,0,"CQB"
2018,0,0,0,0,0,0,0,0,"CQB"
2019,0.446834019434242,0.134775014632824,0.190784754290257,0.228924911702485,0.353241426883726,0.537713965182696,0.672264331729843,0.715343600981408,"CQB"
2021,0.464103270351181,0.171851126319494,0.121790049830587,0.177096843582925,0.348111061107024,0.579641828391662,0.747660333522772,0.802930878492324,"CQB"
2022,0,0,0,0,0,0,0,0,"CQB"
2023,0,0,0,0,0,0,0,0,"CQB"
2024,0.00755121733881501,0.00488338662444601,0,0,0.0038630587615422,0.0108536134106315,0.0160274113803129,0.0177391629261986,"CQB"
2025,0.528489144944972,0.165154783187334,0.204368560640223,0.254663551111778,0.415895860941743,0.639416434085512,0.803391654640724,0.858143916875617,"CQB"
2026,0.179710803622765,0.0582284536950812,0.0720505964761697,0.0860362971858773,0.138567408162425,0.218747486359631,0.277860511689149,0.297190707322384,"CQB"
2016,0.188820095796173,0.0777390792922111,0.0462859484741222,0.0647451482852532,0.133923526089785,0.240112794352558,0.320177172965084,0.34795265892183,"SEPI"
2017,0,0,0,0,0,0,0,0,"SEPI"
2018,0.433579758328996,0.107805675988982,0.223952700993475,0.257185067429792,0.360727976909328,0.505547644577021,0.612002941097997,0.647978329356283,"SEPI"
2019,0.0137240754709532,0.008883028906948,0,0,0.00703198759365,0.0196917712727283,0.0290494806547723,0.0323149015990909,"SEPI"
2021,0.854343246933321,0.486951288466958,0.0649814310996285,0.0968194923963381,0.49120996877834,1.18279410353351,1.68941361661766,1.86460152351141,"SEPI"
2022,0,0,0,0,0,0,0,0,"SEPI"
2023,0.23891332720236,0.0655526893324356,0.112056283356265,0.131488814342328,0.194411077279388,0.282768734757794,0.347422661215462,0.368937961997892,"SEPI"
2024,0.788021779508655,0.416326326033997,0.102370599662017,0.142129769666514,0.483737807353825,1.05913661698286,1.50437629905129,1.66539209665003,"SEPI"
2025,0.749039309747225,0.14275379868311,0.468970996288712,0.514264077914116,0.653444101160748,0.844499949603185,0.984259512470487,1.03066016258233,"SEPI"
2026,0.468649080330801,0.181215999405901,0.144871844525668,0.181974710497055,0.338288536729345,0.5900946120948,0.775681107823056,0.839468441018644,"SEPI"
