Site name,Latitude,Longitude,NOAA dive survey years
Teahwhit Head,47.87103,124.60768,2015
Destruction Island SW,47.67156,124.48719,2015
Rock 305,47.95185,124.6698,2015
Cape Johnson,47.97403,124.68354,2015
Cape Alava,48.1719,124.75213,2015
Point of the Arches,48.24342,124.70752,2015
Anderson Point,48.30663,124.67796,2015
Tatoosh Island,48.3941,124.73389,2015
Chibadehl Rocks,48.39224,124.67525,2015
Neah Bay,48.38578,124.63119,2015
