site,area_pre_2018,area_2018_forward
Destruction Island,1,S
Destruction Island,2,N
Cape Johnson,1,S
Cape Johnson,2,N
Cape Alava,1,W
Cape Alava,2,E
Tatoosh Island,1,N
Tatoosh Island,2,S
Neah Bay,1,N
Neah Bay,2,S
