"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"dat.trim.wide.1987_2015$Region",2,0.603717727254726,0.301858863627363,1.00274495680511,0.125300126671215,0.191
"Residuals",14,4.21445559222537,0.301032542301812,NA,0.874699873328785,NA
"Total",16,4.8181733194801,NA,NA,1,NA
