"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"dat.trim.wide.1987_2015$Region",2,0.557874391190485,0.278937195595242,0.64911079198451,0.0848609478456911,0.494
"Residuals",14,6.01610816913761,0.429722012081258,NA,0.915139052154309,NA
"Total",16,6.57398256032809,NA,NA,1,NA
