"","Year","location","prop.pop","tot.pop"
"1",1977,"Anderson Point",0.0220579967806153,0.41910193883169
"2",1977,"Cape Alava",0.399945245633834,7.59895966704284
"3",1977,"Cape Johnson",0.101214851107429,1.92308217104115
"4",1977,"Chibadehl Rock",6.54361453911179e-10,1.24328676243124e-08
"5",1977,"Destruction Island",0.299633380621307,5.69303423180483
"6",1977,"Neah Bay",1.82076576038526e-13,3.45945494473199e-12
"7",1977,"Point of the Arches",0.143382423320211,2.72426604308401
"8",1977,"Tatoosh Island",7.56758642861399e-07,1.43784142143666e-05
"9",1977,"Teahwhit Head",0.208439320579424,3.96034709100906
"10",1978,"Anderson Point",0.00436564519765203,0.0523877423718244
"11",1978,"Cape Alava",0.0794386070254864,0.953263284305837
"12",1978,"Cape Johnson",0.388653929091647,4.66384714909976
"13",1978,"Chibadehl Rock",1.29508959112457e-10,1.55410750934948e-09
"14",1978,"Destruction Island",0.474419452615995,5.69303343139194
"15",1978,"Neah Bay",3.59712259978551e-14,4.31654711974261e-13
"16",1978,"Point of the Arches",0.0283777783534744,0.340533340241693
"17",1978,"Tatoosh Island",1.49775148061693e-07,1.79730177674031e-06
"18",1978,"Teahwhit Head",0.0342325699990627,0.410790839988752
"19",1981,"Anderson Point",0.030570103770332,1.10052373573195
"20",1981,"Cape Alava",0.569590283362565,20.5052502010523
"21",1981,"Cape Johnson",0.291627995090217,10.4986078232478
"22",1981,"Chibadehl Rock",9.06563490943313e-10,3.26362856739593e-08
"23",1981,"Destruction Island",0.0790699087693362,2.8465167156961
"24",1981,"Neah Bay",2.52131648892373e-13,9.07673936012543e-12
"25",1981,"Point of the Arches",0.199090516885043,7.16725860786155
"26",1981,"Tatoosh Island",1.04842856585297e-06,3.77434283707068e-05
"27",1981,"Teahwhit Head",0.0576515988970611,2.0754575602942
"28",1983,"Anderson Point",0.0218158131613906,1.13442228439231
"29",1983,"Cape Alava",0.619619310541187,32.2202041481417
"30",1983,"Cape Johnson",0.166809577245978,8.67409801679086
"31",1983,"Chibadehl Rock",5.72048297620142e-10,2.97465114762474e-08
"32",1983,"Destruction Island",0.127728314165847,6.64187233662404
"33",1983,"Neah Bay",1.58317803311547e-13,8.23252577220046e-12
"34",1983,"Point of the Arches",0.161639234959333,8.40524021788532
"35",1983,"Tatoosh Island",6.68235546119611e-07,3.47482483982198e-05
"36",1983,"Teahwhit Head",0.0326558567091376,1.69810454887516
"37",1985,"Anderson Point",0.00905912298414058,0.588842993969138
"38",1985,"Cape Alava",0.443816947494315,28.8481015871305
"39",1985,"Cape Johnson",0.202075026414358,13.1348767169332
"40",1985,"Chibadehl Rock",2.63008059775416e-10,1.7095523885402e-08
"41",1985,"Destruction Island",0.11678017295163,7.59071124185597
"42",1985,"Neah Bay",7.29416527178728e-14,4.74120742666173e-12
"43",1985,"Point of the Arches",0.0657823741013609,4.27585431658846
"44",1985,"Tatoosh Island",3.04204992751522e-07,1.97733245288489e-05
"45",1985,"Teahwhit Head",0.0185388725806424,1.20502671774176
"46",1987,"Anderson Point",0.0562453209342716,5.56828677249289
