"Year","location","prop.pop","tot.pop","Region"
1977,"Anderson Point",0.0922237461628205,1.75225117709359,"Central"
1977,"Cape Alava",0.285410865666831,5.42280644766979,"Central"
1977,"Cape Johnson",0.128388110530548,2.43937410008041,"Southern"
1977,"Chibadehl Rock",0.000724091222721657,0.0137577332317115,"Northern"
1977,"Destruction Island",0.213553359235162,4.05751382546807,"Southern"
1977,"Neah Bay",8.92321969900856e-05,0.00169541174281163,"Northern"
1977,"Point of the Arches",0.175901823234415,3.34213464145388,"Central"
1977,"Tatoosh Island",0.00497015513855192,0.0944329476324866,"Northern"
1977,"Teahwhit Head",0.159110466661262,3.02309886656398,"Southern"
1978,"Anderson Point",0.0184604753169021,0.221525703802825,"Central"
1978,"Cape Alava",0.0810562112846439,0.972674535415727,"Central"
1978,"Cape Johnson",0.277622407024301,3.33146888429161,"Southern"
1978,"Chibadehl Rock",0.000143320222785404,0.00171984267342484,"Northern"
1978,"Destruction Island",0.336458133099422,4.03749759719306,"Southern"
1978,"Neah Bay",1.76608425369595e-05,0.000211930110443515,"Northern"
1978,"Point of the Arches",0.0362892025856509,0.435470431027811,"Central"
1978,"Tatoosh Island",0.000984027475106841,0.0118083297012821,"Northern"
1978,"Teahwhit Head",0.0996365284884557,1.19563834186147,"Southern"
1981,"Anderson Point",0.129258611560705,4.65331001618537,"Central"
1981,"Cape Alava",0.417568455644504,15.0324644032021,"Central"
1981,"Cape Johnson",0.232037351130346,8.35334464069244,"Southern"
1981,"Chibadehl Rock",0.00100530483518346,0.0361909740666047,"Northern"
1981,"Destruction Island",0.056092837340432,2.01934214425555,"Southern"
1981,"Neah Bay",0.000123785410435451,0.00445627477567623,"Northern"
1981,"Point of the Arches",0.24827605962252,8.93793814641072,"Central"
1981,"Tatoosh Island",0.00691067902621678,0.248784444943804,"Northern"
1981,"Teahwhit Head",0.0957418659534484,3.44670717432414,"Southern"
1983,"Anderson Point",0.119198590352836,6.19832669834745,"Central"
1983,"Cape Alava",0.456343640845577,23.72986932397,"Central"
1983,"Cape Johnson",0.15891422464921,8.26353968175892,"Southern"
1983,"Chibadehl Rock",0.000776764877184366,0.040391773613587,"Northern"
1983,"Destruction Island",0.0905927421093316,4.71082258968524,"Southern"
1983,"Neah Bay",9.22660726192515e-05,0.00479783577620108,"Northern"
1983,"Point of the Arches",0.242984415392576,12.6351896004139,"Central"
1983,"Tatoosh Island",0.00559363635460708,0.290869090439568,"Northern"
1983,"Teahwhit Head",0.0557023308105379,2.89652120214797,"Southern"
1985,"Anderson Point",0.0635766583089243,4.13248279008008,"Central"
1985,"Cape Alava",0.38650371767202,25.1227416486813,"Central"
1985,"Cape Johnson",0.225319850039887,14.6457902525927,"Southern"
1985,"Chibadehl Rock",0.000330064895338378,0.0214542181969946,"Northern"
1985,"Destruction Island",0.0828236034321557,5.38353422309012,"Southern"
1985,"Neah Bay",3.88183115045404e-05,0.00252319024779513,"Northern"
1985,"Point of the Arches",0.148285713057944,9.63857134876638,"Central"
1985,"Tatoosh Island",0.00245273964811277,0.15942807712733,"Northern"
1985,"Teahwhit Head",0.0511785614529176,3.32660649443964,"Southern"
1987,"Anderson Point",0.103648128457705,10.2611647173128,"Central"
1987,"Cape Alava",0.349956548572065,34.6456983086344,"Central"
1987,"Cape Johnson",0.280192102573738,27.7390181548001,"Southern"
1987,"Chibadehl Rock",0.00172338038757602,0.170614658370026,"Northern"
1987,"Destruction Island",0.04502462103686,4.45743748264914,"Southern"
1987,"Neah Bay",0.000287258451968642,0.0284385867448955,"Northern"
1987,"Point of the Arches",0.187091814807563,18.5220896659487,"Central"
1987,"Tatoosh Island",0.00877733707292605,0.868956370219679,"Northern"
1987,"Teahwhit Head",0.102490042683002,10.1465142256172,"Southern"
1989,"Anderson Point",0.158520671061226,32.9722995807351,"Central"
1989,"Cape Alava",0.423009110054571,87.9858948913508,"Central"
1989,"Cape Johnson",0.138637237800831,28.8365454625729,"Southern"
1989,"Chibadehl Rock",0.00317538259798311,0.660479580380487,"Northern"
1989,"Destruction Island",0.0907054182263782,18.8667269910867,"Southern"
1989,"Neah Bay",0.00054430042837661,0.113214489102335,"Northern"
1989,"Point of the Arches",0.264572609738551,55.0311028256186,"Central"
1989,"Tatoosh Island",0.015525882153564,3.22938348794131,"Northern"
1989,"Teahwhit Head",0.0358791341227444,7.46285989753084,"Southern"
1990,"Anderson Point",0.188443388185525,39.7615549071458,"Central"
1990,"Cape Alava",0.432396624622478,91.2356877953428,"Central"
1990,"Cape Johnson",0.107375395637914,22.6562084795998,"Southern"
1990,"Chibadehl Rock",0.00547880355105945,1.15602754927354,"Northern"
1990,"Destruction Island",0.0958435399694768,20.2229869335596,"Southern"
1990,"Neah Bay",0.00135508131868323,0.285922158242161,"Northern"
1990,"Point of the Arches",0.300608994900087,63.4284979239183,"Central"
1990,"Tatoosh Island",0.0218535966922608,4.61110890206704,"Northern"
1990,"Teahwhit Head",0.0448763462434499,9.46890905736793,"Southern"
1991,"Anderson Point",0.192360130860595,53.0913961175241,"Central"
1991,"Cape Alava",0.28965530754572,79.9448648826188,"Central"
1991,"Cape Johnson",0.190235033626283,52.504869280854,"Southern"
1991,"Chibadehl Rock",0.0731136780904721,20.1793751529703,"Northern"
1991,"Destruction Island",0.0579150779622555,15.9845615175825,"Southern"
1991,"Neah Bay",0.0327921416377206,9.05063109201089,"Northern"
1991,"Point of the Arches",0.20849820155908,57.5455036303061,"Central"
1991,"Tatoosh Island",0.129242847188276,35.6710258239641,"Northern"
